,source,target,value
570,Chava,Gor,6
571,Arnold,Bobbie,11
572,Arnold,Naomi,6
573,Amos,Gor,6
574,Amos,Chava,7
575,Maura,Monica,3
576,Bobbie,Michio,5
577,Bobbie,Monica,6
578,Michio,Naomi,15
579,Jakulski,Rosenfeld,2
580,Jakulski,Montemayor,14
581,Montemayor,Roberts,7
582,Michio,Salis,4
583,Roberts,Rosenfeld,6
584,Fred,Jakulski,5
585,Chava,Clarissa,4
586,Naomi,Sandra,6
587,Ashford,Oksana,2
588,Ashford,Josep,8
589,Carlos,Rosenfeld,8
590,Filip,Fred,5
591,Caesar,Michio,7
592,Michio,Sandra,3
593,Bobbie,Carlos,3
594,Carlos,Michio,21
595,Anderson,Filip,3
596,Aaman,Filip,5
597,Carlos,Sandra,3
598,Jim,Michio,16
599,Amos,Filip,3
600,Clarissa,Jim,59
601,Natalia,Quiana,1
602,Ezio,Michio,9
603,Josie,Miral,6
604,Amos,Jakulski,2
605,Carlos,Jakulski,3
606,Alex,Takeshi,14
607,Clarissa,Tom,5
608,Amos,Michio,2
609,George,Nono,3
610,George,Tanja,6
611,Caesar,Nono,5
612,Caton,Paolo,38
613,Paolo,Winston,11
614,Saba,Vaughn,20
615,Bobbie,Giselle,17
616,Giselle,Kit,67
617,Bobbie,Kit,20
618,Alex,Giselle,64
619,Alex,Kit,119
620,Natalia,Singh,54
621,Elsa,Singh,39
622,Elsa,Natalia,52
623,Kelly,Singh,25
624,Iwasa,Singh,24
625,Clarissa,Semple,2
626,Bobbie,Semple,4
627,Bobbie,Saba,464
628,Carrie,Saba,20
629,Camina,Saba,2
630,Davenport,Singh,34
631,Anton,Singh,16
632,Bobbie,Cameron,5
633,Cameron,Tjon,5
634,Kasik,Singh,118
635,Carrie,Kasik,11
636,Carrie,Singh,56
637,Onni,Singh,105
638,Kasik,Onni,6
639,Clarissa,Singh,5
640,Naomi,Singh,15
641,Naomi,Saba,227
642,Alex,Saba,100
643,Clarissa,Saba,52
644,Amos,Saba,61
645,Giselle,Saba,6
646,Ramez,Saba,14
647,Bobbie,Ramez,33
648,Clarissa,Ramez,10
649,Imari,Singh,6
650,Alex,Singh,1
651,Katria,Saba,150
652,Bobbie,Katria,498
653,Amos,Katria,170
654,Bobbie,Jordao,1
655,Jordao,Katria,12
656,Alex,Katria,26
657,Clarissa,Katria,23
658,Katria,Naomi,57
659,Jim,Katria,10
660,Cameron,Saba,9
661,Jordao,Singh,29
662,Carrie,Natalia,3
663,Bobbie,Lester,3
664,Lester,Saba,3
665,Jim,Saba,70
666,Ami,Saba,16
667,Ami,Bobbie,5
668,Katria,Natalia,3
669,Fernand,Vaughn,7
670,Bobbie,Davenport,24
671,Amos,Davenport,11
672,Davenport,Naomi,2
673,Amos,Carrie,3
674,Davenport,Kasik,2
675,Kasik,Natalia,3
676,Camina,Vaughn,2
677,Kit,Naomi,39
678,Kelly,Natalia,13
679,Elsa,Kelly,3
680,Kelly,Teresa,61
681,Carrie,Teresa,15
682,Fayez,Travon,26
683,Elvi,Travon,40
684,Fayez,Jen,26
685,Elvi,Jen,25
686,Jen,Travon,54
687,Blanca,Naomi,33
688,Alex,Caspar,370
689,Bobbie,Caspar,77
690,Bobbie,Takeshi,29
691,Bobbie,Jillian,281
692,Alex,Jillian,119
693,Jillian,Naomi,137
694,Jillian,Saba,6
695,Muskrat,Teresa,315
696,Muskrat,Waithe,3
697,Jim,Teresa,460
698,Connor,Muskrat,9
699,Muriel,Teresa,46
700,Muriel,Muskrat,8
701,Connor,Muriel,37
702,Connor,Teresa,5
703,Kit,Saba,7
704,Caspar,Jillian,107
705,Alex,Emma,1
706,Emma,Naomi,282
707,Naomi,Teresa,140
708,Emma,Saba,29
709,Kip,Naomi,8
710,Chuck,Emma,27
711,Bobbie,Dust,3
712,Chuck,Naomi,8
713,Chuck,Saba,4
714,Captain,Emma,11
715,Burnham,Captain,4
716,Burnham,Emma,5
717,Jae-Eun,Mehmet,2
718,Fayez,Jae-Eun,4
719,Elsa,Teresa,65
720,Elsa,Muriel,4
721,Connor,Elsa,2
722,Chava,Saba,34
723,Caspar,Hogan,5
724,Alex,Fernand,5
